,Congestion_level,mean,max,min,prev_mean,prev_max,prev_min
0,0.0,1.842105263,3,1,1.842105263,3.0,1.0
1,0.0,0.842105263,1,0,1.842105263,3.0,1.0
2,0.0,2.052631579,4,1,0.842105263,1.0,0.0
3,0.0,2.894736842,4,2,2.052631579,4.0,1.0
4,1.0,3.736842105,4,3,2.894736842,4.0,2.0
7,1.0,4.315789474,5,4,5.473684211,7.0,4.0
8,2.0,4.894736842,6,4,4.315789474,5.0,4.0
9,2.0,5.526315789,8,4,4.894736842,6.0,4.0
12,0.0,2.578947368,4,1,5.473684211,8.0,3.0
13,0.0,2.473684211,3,1,2.578947368,4.0,1.0
14,0.0,2.684210526,3,2,2.473684211,3.0,1.0
16,0.0,0.789473684,1,0,0.157894737,1.0,0.0
17,0.0,1.157894737,2,1,0.789473684,1.0,0.0
18,0.0,1.736842105,2,1,1.157894737,2.0,1.0
19,0.0,2.894736842,3,2,1.736842105,2.0,1.0
20,0.0,2.578947368,3,2,2.894736842,3.0,2.0
21,0.0,3.0,3,3,2.578947368,3.0,2.0
22,0.0,3.0,3,3,3.0,3.0,3.0
23,0.0,2.421052632,4,0,3.0,3.0,3.0
25,1.0,3.0,7,0,3.052631579,4.0,0.0
26,1.0,5.210526316,8,4,3.0,7.0,0.0
27,1.0,5.368421053,6,5,5.210526316,8.0,4.0
28,1.0,5.052631579,6,4,5.368421053,6.0,5.0
29,0.0,2.052631579,3,2,5.052631579,6.0,4.0
30,0.0,3.052631579,5,2,2.052631579,3.0,2.0
32,0.0,1.789473684,3,1,1.315789474,2.0,1.0
34,0.0,2.684210526,3,2,2.263157895,3.0,2.0
35,0.0,2.578947368,3,2,2.684210526,3.0,2.0
36,0.0,2.0,4,0,2.578947368,3.0,2.0
37,0.0,2.842105263,3,2,2.0,4.0,0.0
40,1.0,6.578947368,8,6,4.368421053,6.0,4.0
42,1.0,3.421052632,5,2,5.105263158,6.0,2.0
43,1.0,4.526315789,6,4,3.421052632,5.0,2.0
46,0.0,0.0,0,0,1.315789474,2.0,0.0
47,0.0,0.0,0,0,0.0,0.0,0.0
48,0.0,0.0,0,0,0.0,0.0,0.0
49,0.0,0.0,0,0,0.0,0.0,0.0
53,0.0,0.105263158,1,0,0.105263158,1.0,0.0
54,0.0,0.842105263,3,0,0.105263158,1.0,0.0
55,1.0,3.157894737,4,0,0.842105263,3.0,0.0
57,0.0,3.789473684,6,3,3.473684211,5.0,1.0
58,0.0,4.421052632,6,3,3.789473684,6.0,3.0
59,0.0,2.052631579,4,1,4.421052632,6.0,3.0
61,0.0,1.0,1,1,1.0,1.0,1.0
62,0.0,1.0,1,1,1.0,1.0,1.0
63,0.0,1.0,1,1,1.0,1.0,1.0
65,0.0,1.789473684,2,1,1.263157895,2.0,1.0
66,0.0,2.0,2,2,1.789473684,2.0,1.0
67,0.0,2.0,2,2,2.0,2.0,2.0
68,0.0,1.842105263,2,1,2.0,2.0,2.0
71,0.0,1.736842105,3,1,3.368421053,5.0,2.0
72,0.0,4.0,6,2,1.736842105,3.0,1.0
73,0.0,4.263157895,5,3,4.0,6.0,2.0
74,0.0,1.947368421,3,1,4.263157895,5.0,3.0
76,0.0,0.210526316,1,0,0.473684211,1.0,0.0
77,0.0,0.578947368,2,0,0.210526316,1.0,0.0
78,0.0,1.578947368,2,1,0.578947368,2.0,0.0
80,0.0,3.421052632,5,2,1.894736842,2.0,1.0
81,1.0,3.263157895,4,2,3.421052632,5.0,2.0
82,1.0,4.0,4,4,3.263157895,4.0,2.0
83,1.0,4.210526316,5,4,4.0,4.0,4.0
85,2.0,8.315789474,10,6,5.473684211,7.0,3.0
88,0.0,2.315789474,4,2,2.105263158,4.0,1.0
