,Congestion_level,mean,max,min,prev_mean,prev_max,prev_min
2,1.0,4.210526316,5,3,3.684210526,7.0,1.0
3,1.0,3.736842105,5,2,4.210526316,5.0,3.0
4,2.0,4.105263158,6,3,3.736842105,5.0,2.0
5,2.0,5.578947368,7,4,4.105263158,6.0,3.0
6,2.0,7.526315789,11,5,5.578947368,7.0,4.0
7,2.0,6.368421053,9,4,7.526315789,11.0,5.0
9,2.0,7.578947368,10,5,6.631578947,9.0,5.0
12,0.0,3.421052632,6,2,4.210526316,6.0,3.0
13,1.0,4.473684211,6,2,3.421052632,6.0,2.0
14,1.0,6.789473684,11,4,4.473684211,6.0,2.0
15,1.0,4.157894737,8,1,6.789473684,11.0,4.0
16,0.0,1.578947368,3,1,4.157894737,8.0,1.0
17,0.0,1.368421053,2,1,1.578947368,3.0,1.0
18,0.0,2.0,3,1,1.368421053,2.0,1.0
19,0.0,3.105263158,4,1,2.0,3.0,1.0
20,0.0,2.842105263,4,2,3.105263158,4.0,1.0
21,1.0,3.842105263,6,2,2.842105263,4.0,2.0
23,1.0,4.789473684,7,3,5.105263158,7.0,4.0
24,1.0,4.526315789,6,3,4.789473684,7.0,3.0
25,1.0,4.526315789,5,3,4.526315789,6.0,3.0
27,0.0,0.789473684,2,0,1.894736842,5.0,0.0
28,0.0,2.684210526,5,1,0.789473684,2.0,0.0
31,2.0,7.052631579,9,5,5.315789474,7.0,4.0
33,2.0,6.105263158,8,3,6.578947368,9.0,5.0
34,2.0,7.210526316,9,6,6.105263158,8.0,3.0
35,2.0,7.210526316,9,6,7.210526316,9.0,6.0
37,2.0,8.105263158,11,6,9.0,11.0,6.0
38,2.0,8.473684211,11,6,8.105263158,11.0,6.0
40,2.0,8.684210526,12,6,10.68421053,13.0,8.0
41,1.0,8.263157895,10,6,8.684210526,12.0,6.0
44,0.0,2.947368421,3,2,2.0,2.0,2.0
45,0.0,2.526315789,4,1,2.947368421,3.0,2.0
46,0.0,3.631578947,6,3,2.526315789,4.0,1.0
47,1.0,2.842105263,4,2,3.631578947,6.0,3.0
49,1.0,5.210526316,7,4,3.526315789,5.0,2.0
50,2.0,6.157894737,8,5,5.210526316,7.0,4.0
52,1.0,4.052631579,6,3,4.789473684,7.0,3.0
55,1.0,5.052631579,8,3,3.894736842,6.0,3.0
56,1.0,5.789473684,8,3,5.052631579,8.0,3.0
58,0.0,2.0,4,1,1.526315789,4.0,0.0
59,0.0,3.473684211,6,1,2.0,4.0,1.0
60,0.0,2.263157895,3,2,3.473684211,6.0,1.0
62,0.0,2.736842105,4,2,2.0,2.0,2.0
63,1.0,4.315789474,6,3,2.736842105,4.0,2.0
64,1.0,4.894736842,7,3,4.315789474,6.0,3.0
65,1.0,5.578947368,7,4,4.894736842,7.0,3.0
66,1.0,4.315789474,6,3,5.578947368,7.0,4.0
67,2.0,5.736842105,8,4,4.315789474,6.0,3.0
68,2.0,6.157894737,7,5,5.736842105,8.0,4.0
70,1.0,5.210526316,7,4,6.0,7.0,4.0
72,0.0,1.157894737,3,0,3.842105263,6.0,1.0
73,0.0,2.421052632,6,1,1.157894737,3.0,0.0
74,1.0,3.947368421,6,3,2.421052632,6.0,1.0
75,1.0,4.421052632,6,3,3.947368421,6.0,3.0
76,1.0,4.421052632,6,4,4.421052632,6.0,3.0
77,1.0,4.526315789,6,4,4.421052632,6.0,4.0
81,2.0,7.684210526,10,6,6.105263158,7.0,4.0
82,2.0,7.0,9,5,7.684210526,10.0,6.0
83,2.0,6.421052632,9,5,7.0,9.0,5.0
85,2.0,5.684210526,7,4,6.052631579,7.0,5.0
86,1.0,3.947368421,6,1,5.684210526,7.0,4.0
88,0.0,3.210526316,4,2,3.526315789,5.0,1.0
89,0.0,3.473684211,5,1,3.210526316,4.0,2.0
