,Congestion_level,mean,max,min,IncreaseorNot
1,0.0,947369.2031,1000000.0,14.85919261,-28.72631579
4,0.0,842129.5431,1000000.0,24.13199549,-223.3473684
5,0.0,105586.6611,1000000.0,59.43224764,94.85789474
6,0.0,52850.07737,1000000.0,61.3160066,6.140350877
8,0.0,210668.0492,1000000.0,84.4599313,-171.8087719
9,0.0,421174.3212,1000000.0,84.88567913,106.5736842
12,0.0,736941.1548,1000000.0,94.50924683,-62.2754386
15,0.0,105453.9946,1000000.0,103.0493468,145.5368421
16,0.0,52833.52683,1000000.0,106.2977815,6.149122807
17,0.0,736872.7018,1000000.0,108.4197388,140.3385965
18,0.0,158096.1766,1000000.0,116.5901796,42.00701754
19,0.0,368560.9672,1000000.0,139.1417174,404.9894737
21,0.0,894772.5165,1000000.0,153.5353916,-451.7719298
22,0.0,158055.9043,1000000.0,170.5049286,-64.57017544
24,0.0,368629.9591,1000000.0,183.8657433,75.9
26,0.0,684309.5314,1000000.0,223.2140982,-22.59824561
28,0.0,947381.4585,1000000.0,247.711998,-41.77894737
29,0.0,158174.2474,1000000.0,249.5155729,106.7350877
30,0.0,316005.8638,1000000.0,261.7779922,-54.83508772
31,0.0,158146.8369,1000000.0,281.6060214,98.22105263
32,0.0,736921.6429,1000000.0,286.1666756,429.8192982
34,0.0,526486.0552,1000000.0,305.1901164,-434.6210526
35,0.0,684341.0845,1000000.0,307.0184689,-25.19649123
37,0.0,842175.39,1000000.0,395.5510888,234.1192982
38,0.0,947390.1353,1000000.0,412.5713615,458.2157895
41,0.0,947400.5734,1000000.0,610.8939972,-160.7561404
42,0.0,1000000.0,1000000.0,1000000.0,32.69298246
43,0.0,1000000.0,1000000.0,1000000.0,106.2631579
44,0.0,1000000.0,1000000.0,1000000.0,-2.728070175
45,1.0,1000000.0,1000000.0,1000000.0,183.2
46,1.0,1000000.0,1000000.0,1000000.0,-249.2105263
47,1.0,1000000.0,1000000.0,1000000.0,-73.11929825
48,0.0,1000000.0,1000000.0,1000000.0,-195.6035088
49,0.0,1000000.0,1000000.0,1000000.0,-131.7701754
50,0.0,1000000.0,1000000.0,1000000.0,71.17192982
51,0.0,1000000.0,1000000.0,1000000.0,31.91578947
55,0.0,1000000.0,1000000.0,1000000.0,-211.4789474
57,0.0,1000000.0,1000000.0,1000000.0,1.192982456
58,0.0,1000000.0,1000000.0,1000000.0,-125.045614
59,0.0,1000000.0,1000000.0,1000000.0,-86.91578947
60,0.0,1000000.0,1000000.0,1000000.0,146.3245614
61,0.0,1000000.0,1000000.0,1000000.0,-186.2245614
62,0.0,1000000.0,1000000.0,1000000.0,200.3087719
63,0.0,1000000.0,1000000.0,1000000.0,49.54035088
64,0.0,1000000.0,1000000.0,1000000.0,-85.24561404
67,0.0,1000000.0,1000000.0,1000000.0,0.185964912
68,0.0,259.7042702,493.7968388,113.2273172,-33.57192982
70,0.0,206.4845673,331.4318259,107.1842861,102.3649123
71,0.0,156.2680441,330.6234741,41.01965332,-77.23333333
72,0.0,156.7898138,325.5640169,108.5012524,-92.45263158
74,0.0,218.9037592,315.2006473,148.8996393,83.35087719
75,0.0,188.5519119,307.4041058,99.91290856,-140.6298246
79,0.0,153.2350756,276.769604,101.2684536,-6.266666667
80,0.0,197.1663687,260.9642444,151.8854932,315.4912281
81,0.0,191.3137438,239.4235816,101.8243275,31.92807018
82,0.0,185.8823424,235.656662,108.5639513,-115.5719298
83,0.0,189.7055532,234.6884042,93.2013701,-60.63684211
84,0.0,153.6023452,215.3834021,106.2155684,-18.21754386
85,0.0,119.9384221,174.660394,89.80624455,145.4964912
86,0.0,130.5818753,171.9701606,107.6280823,-97.85614035
87,0.0,113.4688895,160.8309087,82.30007566,79.9122807
88,0.0,100.3634169,146.5228248,38.91579137,107.9157895
